,year,State,Median income,Smoke everyday,Smoke some days,Former smoker,Never smoked
140,1997,North Carolina,57104.0,21.0,4.9,22.4,51.8
141,1997,North Dakota,50446.0,19.7,2.6,24.4,53.3
142,1997,Ohio,57573.0,23.2,1.9,22.7,52.2
143,1997,Oklahoma,49952.0,21.4,3.2,19.1,56.3
144,1997,Oregon,59346.0,16.2,4.5,30.4,48.9
145,1997,Pennsylvania,59776.0,20.0,4.2,22.7,53.1
146,1997,Puerto Rico,,9.4,5.0,15.7,69.9
147,1997,Rhode Island,55443.0,19.7,4.6,26.7,49.0
148,1997,South Carolina,54590.0,20.2,3.2,20.0,56.6
149,1997,South Dakota,47312.0,18.8,5.6,25.8,49.9
150,1997,Tennessee,48813.0,23.7,3.3,21.3,51.7
151,1997,Texas,55885.0,16.2,6.3,20.3,57.1
152,1997,United States,58961.0,19.1,4.3,24.3,52.1
153,1997,Utah,68154.0,11.1,2.6,17.2,69.0
154,1997,Vermont,55850.0,19.5,3.8,29.1,47.7
155,1997,Virginia,68444.0,18.8,5.6,25.8,49.8
156,1997,Washington,71001.0,18.6,5.2,26.9,49.3
157,1997,West Virginia,43797.0,24.5,2.9,24.3,48.2
158,1997,Wisconsin,63087.0,19.7,3.5,25.3,51.5
159,1997,Wyoming,53253.0,19.5,4.5,25.4,50.6
160,1998,Alabama,57011.0,19.4,5.2,21.5,53.9
161,1998,Alaska,79689.0,19.8,6.3,25.4,48.4
162,1998,All States and DC,,18.5,4.5,24.3,52.0
163,1998,Arizona,58306.0,19.8,2.1,17.3,60.9
164,1998,Arkansas,43490.0,22.2,3.7,24.2,49.9
165,1998,California,64349.0,13.6,5.6,26.2,54.6
166,1998,Colorado,73255.0,17.1,5.7,24.3,52.9
167,1998,Connecticut,73112.0,15.3,5.6,28.2,50.9
168,1998,Delaware,65173.0,20.7,3.7,24.5,51.0
169,1998,District of Columbia,52558.0,15.1,6.6,17.0,61.3
170,1998,Florida,54878.0,18.0,4.0,26.1,51.9
171,1998,Georgia,60782.0,19.7,3.9,21.9,54.5
172,1998,Hawaii,64181.0,15.8,3.7,26.1,54.4
173,1998,Idaho,57662.0,15.8,4.5,25.2,54.6
174,1998,Illinois,67877.0,17.0,6.1,25.0,51.9
175,1998,Indiana,62458.0,20.7,5.3,26.0,48.0
176,1998,Iowa,58195.0,18.3,5.1,23.7,53.0
177,1998,Kansas,57711.0,17.4,3.7,21.8,57.1
178,1998,Kentucky,56989.0,28.0,2.8,22.9,46.3
179,1998,Louisiana,49888.0,20.5,5.0,19.8,54.7
180,1998,Maine,56027.0,19.4,2.9,31.3,46.4
181,1998,Maryland,78626.0,16.7,5.7,24.2,53.4
182,1998,Massachusetts,66567.0,16.6,4.3,28.0,51.1
183,1998,Michigan,65744.0,22.6,4.8,25.4,47.2
184,1998,Minnesota,75341.0,13.3,4.7,18.6,63.4
185,1998,Mississippi,45777.0,19.1,5.0,21.9,54.0
186,1998,Missouri,63197.0,22.3,4.0,23.7,50.0
187,1998,Montana,49640.0,18.5,2.9,26.7,51.8
188,1998,Nebraska,57242.0,17.4,4.6,24.4,53.5
189,1998,Nevada,62497.0,23.6,6.7,24.0,45.6
190,1998,New Hampshire,70675.0,18.2,5.0,28.5,48.2
191,1998,New Jersey,78328.0,15.2,3.9,26.4,54.5
192,1998,New Mexico,49586.0,16.2,6.4,24.3,53.2
193,1998,New York,58784.0,18.4,5.7,24.3,51.6
194,1998,North Carolina,56338.0,20.5,4.2,23.4,51.9
195,1998,North Dakota,47639.0,17.0,3.0,28.2,51.8
196,1998,Ohio,61191.0,21.6,4.5,23.6,50.3
197,1998,Oklahoma,53020.0,20.2,3.6,19.6,56.5
198,1998,Oregon,61414.0,16.3,4.8,27.4,51.6
199,1998,Pennsylvania,61333.0,19.4,4.4,22.9,53.3
200,1998,Puerto Rico,,10.1,5.2,16.8,67.9
201,1998,Rhode Island,63959.0,18.2,4.4,29.0,48.4
202,1998,South Carolina,52297.0,19.6,5.1,20.7,54.6
203,1998,South Dakota,51540.0,22.0,5.2,20.4,52.4
204,1998,Tennessee,53592.0,22.7,3.3,21.5,52.4
205,1998,Texas,56252.0,15.6,6.3,22.6,55.5
206,1998,United States,61128.0,18.5,4.6,24.3,52.2
207,1998,Utah,69639.0,10.5,3.7,18.7,67.1
208,1998,Vermont,61894.0,18.6,3.7,28.6,49.1
209,1998,Virginia,68154.0,18.1,4.8,23.2,53.9
210,1998,Washington,74547.0,16.9,4.5,27.6,51.1
211,1998,West Virginia,41979.0,24.9,3.1,23.8,48.3
212,1998,Wisconsin,64967.0,18.7,4.7,29.4,47.2
213,1998,Wyoming,55414.0,19.0,3.9,25.2,52.0
214,1999,Alabama,55799.0,18.1,5.3,24.2,52.3
215,1999,Alaska,79111.0,19.2,8.1,25.7,47.0
216,1999,All States and DC,,18.0,4.8,24.0,52.4
217,1999,Arizona,56944.0,17.9,2.2,17.8,62.1
218,1999,Arkansas,45688.0,22.6,4.6,23.1,49.7
219,1999,California,67156.0,12.5,6.2,26.4,54.9
220,1999,Colorado,74156.0,17.5,4.9,25.8,51.7
221,1999,Connecticut,77875.0,17.5,5.3,25.3,51.9
222,1999,Delaware,71772.0,20.7,4.8,23.9,50.6
223,1999,District of Columbia,59523.0,13.4,7.1,16.1,63.3
224,1999,Florida,55153.0,16.3,4.3,26.8,52.6
225,1999,Georgia,60685.0,18.3,5.4,22.5,53.7
226,1999,Hawaii,68503.0,14.4,4.1,22.9,58.6
227,1999,Idaho,55105.0,16.0,5.5,24.3,54.2
228,1999,Illinois,71313.0,19.8,4.5,23.8,51.9
229,1999,Indiana,62860.0,22.5,4.5,22.0,51.0
230,1999,Iowa,63260.0,18.9,4.6,24.6,51.9
